C2, 1046.4000  0.0120 0.0111 0.0103 0.0094 0.0085 129.80 393.33 654.85 916.38 1177.91;
D2b, 1108.0000  0.0081 0.0024 0.0032 0.0089 0.0081 137.79 415.29 692.79 970.29 1245.79;
D2, 1174.4000  0.0104 0.0090 0.0076 0.0062 0.0048 147.77 441.24 734.71 1028.18 1321.65;
E2b, 1244.0000  0.0026 0.0070 0.0087 0.0043 0.0001 155.76 467.19 776.64 1088.07 1399.51;
E2, 1318.4000  0.0089 0.0071 0.0052 0.0034 0.0015 165.74 495.14 824.55 1153.95 1483.36;
F2, 1396.8000  0.0079 0.0064 0.0048 0.0033 0.0018 173.72 523.09 872.46 1221.83 1571.20;
G2b, 1479.2000  0.0068 0.0028 0.0011 0.0051 0.0079 185.70 555.04 924.37 1293.70 1665.03;
G2, 1567.2000  0.0017 0.0058 0.0062 0.0021 0.0020 195.68 586.98 980.27 1371.56 1762.86;
A2b, 1660.8000  0.0005 0.0009 0.0012 0.0016 0.0020 207.66 622.91 1038.16 1453.41 1868.67;
A2, 1760.0000  0.0026 0.0060 0.0004 0.0053 0.0033 219.64 660.84 1100.05 1539.26 1980.46;
B2b, 1784.0000  0.0045 0.0012 0.0069 0.0016 0.0041 223.63 668.83 1114.03 1561.22 2006.42;
B2, 1975.2000  0.0044 0.0000 0.0044 0.0039 0.0005 247.59 740.70 1233.81 1728.92 2222.03;
C3, 2088.0000  0.0034 0.0023 0.0041 0.0016 0.0048 261.56 782.62 1305.68 1826.74 2349.80;
